speaker,text,labels,wav.file
"Samuel A. Alito, Jr.","That seems very strange for that, for a party to apply for a permit on -- on the ground that they don't need a permit at all.",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__JANUARY_09_2012_740-495_749-501.wav
"Samuel A. Alito, Jr.","But you are not asking us to hold that a Spending Clause legislation can never preempt State legislation, I take it.",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__OCTOBER_03_2011_411-858_418-496.wav
"Samuel A. Alito, Jr.","Because if this is -- if this is contractual -- suppose Ricoh in that case had moved -- had adopted -- had taken the approach that Professor Sachs has recommended and moved for summary judgment, 12(b)(6) or summary judgment; that would be a contract issue.",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__OCTOBER_09_2013_1197-722_1213-035.wav
"Samuel A. Alito, Jr.","First is a spouse in a State that allows same-sex marriage, the second is a domestic partner in a State that an allows that but not same-sex marriage, the third is in an equally committed loving relationship in a State that doesn't involve either.",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__MARCH_27_2013_5131-523_5146-283.wav
"Samuel A. Alito, Jr.","Mr. Laycock, didn't this inquiry illustrate the problems that will necessarily occur if you get into a pretext analysis -- the question of was she told that she had violated the church's teaching about suing in a civil tribunal.",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__OCTOBER_05_2011_1427-201_1447-098.wav
"Samuel A. Alito, Jr.","Well, I -- I thought the government's position was it had to be maintained as a national war -- as a war memorial, but not that it had to be maintained as a cross.",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__OCTOBER_07_2009_2668-644_2676-389.wav
"Samuel A. Alito, Jr.","Even if... even if leveling the playing field is not generally a compelling or maybe even a permissible interest, is it a stronger interest when one of the reasons why the playing field is not level is other action that Congress has taken?",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__APRIL_22_2008_849-365_863-485.wav
"Samuel A. Alito, Jr.",Now I will have to submit potentially 50 different forms to all of these States reporting that somebody in South Carolina purchased something from me that cost 23.99.,skeptical,Samuel_A_Alito_Jr/ORAL_ARGUMENT__DECEMBER_08_2014_2223-623_2236-532.wav
"Samuel A. Alito, Jr.","In that instance, the Federal Government wouldn't be purporting to say who is married and who is not married; it would be saying who is entitled to various Federal benefits and burdens based on a Federal definition.",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__MARCH_27_2013_4624-468_4637-042.wav
"Samuel A. Alito, Jr.","They're free to ask this Court to overrule the death penalty. But until that occurs, is it appropriate for the judiciary to countenance what amounts to a guerilla war against the death penalty which consists of efforts to make it impossible for the States to obtain drugs that could be used to carry out capital punishment with little, if any, pain? And so the States are reduced to using drugs like this one which give rise to disputes about whether, in fact, every possibility of pain is eliminated. Now, what is your response to that?",skeptical,Samuel_A_Alito_Jr/ORAL_ARGUMENT__APRIL_29_2015_789-86_830-17.wav
"Samuel A. Alito, Jr.","Well, to go back to Justice Breyer's hypothetical which gets at this point where you have the gardening -- the gardening company, privately held, that's working for a public company, and there's some kind of employee of the contractor is fired and claims that the company is engaging in some kind of fraud that has nothing to do with the public company.",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__NOVEMBER_12_2013_663-577_684-725.wav
"Samuel A. Alito, Jr.","I thought the sentencing judge's reasoning was that the -- the undischarged term of imprisonment that was going to be imposed on the offense for which probation had previously been granted and there had been a violation of the probation, that that had nothing to do with his subsequent Federal drug charges, and therefore the Federal drug charges should run consecutively to that, but should be concurrent to any sentence imposed by the State court on the State drug charges.",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__NOVEMBER_30_2011_340-198_372-586.wav
"Samuel A. Alito, Jr.","Well, if Texas says we don't care about maintaining voting precincts; this is -- this is a matter of -- of administrative burden and expense, and we are willing to bear that, so disregard that.",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__JANUARY_09_2012_3336-767_3347-825.wav
"Samuel A. Alito, Jr.","Well, is it your position that any time a petitioner raises an ineffective assistance of counsel claim, the habeas proceeding can potentially be stayed indefinitely?",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__OCTOBER_09_2012_1018-875_1028-73.wav
