speaker,text,labels,wav.file
Sonia Sotomayor,"So would you please answer Justice Scalia's earlier point, which is, are we going to get a slew of lawsuits from wives saying that their husbands were treated -- had an unfair trial or unfairly accused?",neutral,Sonia_Sotomayor/ORAL_ARGUMENT__FEBRUARY_23_2015_2569-65_2588-165.wav
Sonia Sotomayor,"If it's the same court taking action, why would they choose one over the other for particular cases?",neutral,Sonia_Sotomayor/ORAL_ARGUMENT__OCTOBER_12_2010_244-896_253-169.wav
Sonia Sotomayor,Do you -- if Regalado had sued and said -- assume the fact; I know that you claim it didn't happen -- they fired my fiancee to retaliate against me.,neutral,Sonia_Sotomayor/ORAL_ARGUMENT__DECEMBER_07_2010_1662-464_1675-787.wav
Sonia Sotomayor,"I -- if I'm understanding your argument correctly, you're saying that if Napier controls the design of -- and a locomotive part, that includes any design defect that's encompassed by State law, whether it's design in its traditional sense or failure to warn?",,Sonia_Sotomayor/ORAL_ARGUMENT__NOVEMBER_09_2011_2479-175_2502-911.wav
Sonia Sotomayor,"Tell me exactly why you see a difference between """"realistically likely"""" or """"reasonably possible"""".",neutral,Sonia_Sotomayor/ORAL_ARGUMENT__MARCH_29_2011_2098-918_2107-005.wav
Sonia Sotomayor,"Interesting, because what you are proposing is a sort of State by State, circuit by circuit, presumably existence of a Bivens claim or not.",neutral,Sonia_Sotomayor/ORAL_ARGUMENT__NOVEMBER_01_2011_1176-865_1187-657.wav
Sonia Sotomayor,I'm -- I'm a little concerned with how you envision this provision working. You're saying that the HHS Exchange can't be for the State so that it's established by the choice of the State. The choice the State had was establish your own Exchange or let the Federal government establish it for you.,neutral,Sonia_Sotomayor/ORAL_ARGUMENT__MARCH_04_2015_749-325_781-265.wav
Sonia Sotomayor,"That's an interesting concession on your part, that the labeling doesn't have a need separate from the restriction on sale.",neutral,Sonia_Sotomayor/ORAL_ARGUMENT__NOVEMBER_02_2010_1246-753_1256-798.wav
Sonia Sotomayor,"Because there is a confusion in it that appears, both in your papers and in this argument.",,Sonia_Sotomayor/ORAL_ARGUMENT__OCTOBER_14_2009_2964-289_2971-112.wav
Sonia Sotomayor,"Each time you get -- you say that, you get back into the hole that Justice Kagan has been asking you to climb out of.",skeptical,Sonia_Sotomayor/ORAL_ARGUMENT__OCTOBER_10_2012_2151-172_2157-236.wav
Sonia Sotomayor,"I'm not sure what that means, because if you're taking discovery on the State law issues, defamation, extortion, et cetera, you're pressing it.",neutral,Sonia_Sotomayor/ORAL_ARGUMENT__MARCH_22_2011_3113-474_3124-214.wav
Sonia Sotomayor,"And it may be in your judgment a more legitimate decision, but why is the situation less negligent -- why is it negligent and not deliberate?",neutral,Sonia_Sotomayor/ORAL_ARGUMENT__JANUARY_14_2013_2980-355_2991-244.wav
Sonia Sotomayor,You and the Petitioners go into court and say to the court: Stay that deregulation with respect to this kind of planting.,neutral,Sonia_Sotomayor/ORAL_ARGUMENT__APRIL_27_2010_1340-354_1351-912.wav
